chr	start_pos	stop_pos	#total_windows	#signif_windows	Max_Stat	max_window_center	nearest_gene(s)	nearest_Fbgn(s)	orientation	position_vs_gene	OverlapFbgns	OverlapGenes
ChrX	12265014	12344793	14	5	0.06868125	12342300.5	FBgn0259680	Pkcdelta	i	0.748786521	FBgn0259240/FBgn0030384/FBgn0030385/FBgn0052651/FBgn0030386/FBgn0052652/FBgn0259680	Ten-a/CG2577/Ir11a/CG32651/CG2574/CG32652/Pkcdelta
ChrX	12466534	12508505	5	2	0.06513705	12505073.5	FBgn0030406	CG1463	e	0.347946045	FBgn0030400/FBgn0041203/FBgn0030403/FBgn0052654/FBgn0030406/FBgn0030407	CG11138/LIMK1/CG1824/Sec16/CG1463/CG2543
ChrX	12549214	12563210	1	1	0.127359989	12556212	FBgn0011837	Tis11	i	0.119452007	FBgn0015024/FBgn0011837	CkIalpha/Tis11
ChrX	12926833	12932996	1	1	0.058301399	12929914.5	FBgn0265597	rad	i	0.522541595	FBgn0265597	rad
ChrX	14065660	14070625	1	1	0.059509304	14068142.5	FBgn0030539	CG1368	u	-646.5	FBgn0030538/FBgn0030539/FBgn0030540	betaNACtes1/CG1368/CG11581
ChrX	14241838	14245428	1	1	0.056188452	14243633	FBgn0052600	dpr8	i	0.195326269	FBgn0052600	dpr8
ChrX	14333876	14340664	1	1	0.059845583	14337270	FBgn0052600	dpr8	i	0.863469978	FBgn0052600	dpr8
ChrX	14579508	14587347	1	1	0.056830704	14583427.5	FBgn0015774	NetB	t	0.947006536	FBgn0030575/FBgn0015774/FBgn0262534	CG5321/NetB/CG43088
ChrX	15343256	15349754	1	1	0.109268356	15346505	FBgn0014455	Ahcy13	e	0.927044025	FBgn0040285/FBgn0014455/FBgn0030638/FBgn0004391	Scamp/Ahcy13/CG11655/shtd
ChrX	15692700	15702741	1	1	0.088190371	15697720.5	FBgn0030695	PGRP-LE	f	0.02967075	FBgn0052581/FBgn0030694/FBgn0030695/FBgn0003345/FBgn0030696	CG32581/CG15602/PGRP-LE/sd/CG8509
ChrX	15995489	16000180	1	1	0.071675839	15997834.5	FBgn0259700/FBgn0259699	CG42354/CG42353	i	0.093689361	FBgn0259699/FBgn0259700/FBgn0042650	CG42353/CG42354/disco-r
ChrX	16253325	16266065	2	2	0.06775822	16257018.5	FBgn0004227	nonA	i	0.141962317	FBgn0086448/FBgn0004227/FBgn0004598	Gpi1/nonA/Fur2
ChrX	16991178	16997477	1	1	0.083625628	16994327.5	FBgn0030817	CG4991	i	0.664083399	FBgn0030816/FBgn0030817	CG16700/CG4991
Chr2L	5717744	5724605	1	1	0.041420824	5721174.5	FBgn0024191	sip1	e	0.045072993	FBgn0054011/FBgn0031732/FBgn0024191/FBgn0031736	CG34011/CG11149/sip1/CG11030
Chr2L	6370627	6376492	1	1	0.04494441	6373559.5	FBgn0043854	slam	f	0.234913793	FBgn0031805/FBgn0043854	CG9505/slam
Chr2L	6589885	6596112	1	1	0.041241698	6592998.5	FBgn0031835	CG11319	i	0.246893745	FBgn0031835	CG11319
Chr2L	7410396	7414916	1	1	0.057995085	7412656	FBgn0028387	chm	e	0.023161159	FBgn0031909/FBgn0031910/FBgn0028387	CG5181/CG15818/chm
Chr2L	8425756	8433981	1	1	0.044274361	8429868.5	FBgn0027932	Akap200	i	0.908470558	FBgn0027932/FBgn0001137/FBgn0027490	Akap200/grk/D12
Chr2L	8672381	8677948	1	1	0.042411978	8675164.5	FBgn0001114	Glt	e	0.600706283	FBgn0011259/FBgn0001114/FBgn0032057	Sema-1a/Glt/CG9287
Chr2L	8777568	8784452	1	1	0.044542782	8781010	FBgn0032069	CG9468	i	0.067390699	FBgn0032068/FBgn0032069/FBgn0261627/FBgn0029123	CG9466/CG9468/CG42710/SoxN
Chr2L	8837063	8842776	1	1	0.043463312	8839919.5	FBgn0029123	SoxN	d	10249.5	FBgn0029123/FBgn0052986	SoxN/CG32986
Chr2L	9572480	9578725	1	1	0.044614762	9575602.5	FBgn0028479	Mtpalpha	e	0.363849033	FBgn0032130/FBgn0028479/FBgn0051709	CG3838/Mtpalpha/CG31709
Chr2L	12062111	12075469	1	1	0.0394963	12068790	FBgn0032405	CG14946	u	-2018	FBgn0027505/FBgn0032405/FBgn0032406	Rab3-GAP/CG14946/CG14947
Chr2L	12308532	12315259	1	1	0.039230171	12311895.5	FBgn0000114	aret	t	0.988857506	FBgn0000114/FBgn0051862	aret/CG31862
Chr2L	12505974	12509338	1	1	0.044129978	12507656	FBgn0259176	bun	i	0.427743189	FBgn0259176	bun
Chr2L	14015960	14020558	1	1	0.049129843	14018259	FBgn0027348	bgm	e	0.808457266	FBgn0027348/FBgn0001967/FBgn0028519	bgm/nimC3/CG4500
Chr2L	15796532	15802760	1	1	0.039701716	15799646	FBgn0028901	CG18109	d	9596	FBgn0028901/FBgn0262150	CG18109/CG42876
Chr2L	16103824	16108882	1	1	0.040858075	16106353	FBgn0028520	CG4891	d	10409	FBgn0028520/FBgn0028884	CG4891/CG4892
Chr2L	16175651	16182735	1	1	0.049384223	16179193	FBgn0001991	Ca-alpha1D	i	0.540774617	FBgn0001991	Ca-alpha1D
Chr2L	16888328	16907585	2	2	0.044225917	16903525	FBgn0261671	tweek	e	0.526398712	FBgn0040985/FBgn0260758/FBgn0051805/FBgn0032620/FBgn0261671	CG6115/CG42556/CG31805/CG12288/tweek
Chr2L	17053498	17065446	2	2	0.078315595	17062553	FBgn0032625	CG15136	u	-14272	FBgn0032625/FBgn0032626	CG15136/CG12620
Chr2L	17204280	17212699	1	1	0.039473391	17208489.5	FBgn0032629	beat-IIIc	i	0.714728375	FBgn0032629	beat-IIIc
Chr2L	17258259	17264790	1	1	0.061200158	17261524.5	FBgn0032629	beat-IIIc	u	-790.5	FBgn0032629/FBgn0032631	beat-IIIc/CG15140
Chr2L	17335542	17343335	1	1	0.04179349	17339438.5	FBgn0051804	CG31804	u	-24057.5	FBgn0085199/FBgn0051804	CG34170/CG31804
Chr2L	17579015	17585793	1	1	0.043198215	17582404	FBgn0032651	Oli	u	-6998	FBgn0032650/FBgn0032651	CG7094/Oli
Chr2L	17855790	18137370	26	15	0.097284307	18100822	FBgn0032664	CG5755	d	2756	FBgn0262018/FBgn0262960/FBgn0032656/FBgn0023096/FBgn0032658/FBgn0051742/FBgn0040989/FBgn0261531/FBgn0261357/FBgn0261358/FBgn0051740/FBgn0032660/FBgn0243486/FBgn0000120/FBgn0002939/FBgn0051741/FBgn0032663/FBgn0032664/FBgn0032665/FBgn0051785/FBgn0032666/FBgn0001301	CadN2/CG43271/CG5674/btv/CG5681/Prosbeta5R2/CG5693/CG42659/CG42634/CG42635/CG31740/elfless/rdo/Arr1/ninaD/CG31741/CG15153/CG5755/CG15152/CG31785/CG5758/kel
Chr2L	18230540	18260150	3	3	0.050041758	18256317.5	FBgn0051788	CG31788	d	1176.5	FBgn0263325/FBgn0051788/FBgn0261804	CG43406/CG31788/CG42750
Chr2L	18369486	18422622	5	3	0.070946039	18374496.5	FBgn0085200	CG34171	u	-4129.5	FBgn0011559/FBgn0085200/FBgn0000636/FBgn0261597	Acp36DE/CG34171/Fas3/RpS26
Chr2L	19121256	19154801	3	3	0.050616182	19147407.5	FBgn0010300	brat	i	0.295840407	FBgn0000422/FBgn0002031/FBgn0086444/FBgn0086445/FBgn0086443/FBgn0086446/FBgn0086447/FBgn0010300	Ddc/l(2)37Cc/l(2)37Cb/l(2)37Cd/Aats-asn/l(2)37Ce/l(2)37Cg/brat
Chr2L	19232042	19238935	1	1	0.045245394	19235488.5	FBgn0051797	CG31797	d	23943.5	FBgn0015380/FBgn0051797	drl/CG31797
Chr2L	19459678	19471658	1	1	0.0523952	19465668	FBgn0000964	tj	e	0.401317674	FBgn0032785/FBgn0000964/FBgn0032787	CG10026/tj/CG10195
Chr2L	19590326	19599177	1	1	0.045765438	19594751.5	FBgn0000464	Lar	i	0.055886721	FBgn0000464	Lar
Chr2L	19727592	19741761	1	1	0.041063823	19734676.5	FBgn0032815	CG10462	e	0.334230769	FBgn0000464/FBgn0032815/FBgn0032816/FBgn0032817	Lar/CG10462/Nf-YB/CG10631
Chr2L	20143788	20152187	1	1	0.049663459	20147987.5	FBgn0032853	CG10651	u	-13064.5	FBgn0032853/FBgn0259996	CG10651/CG40341
Chr2L	20540211	20560509	2	2	0.045850408	20555694.5	FBgn0265256	CG44270	d	23861.5	FBgn0265256/FBgn0051677	CG44270/CG31677
Chr2R	583611	606309	1	1	0.071040682	594960	FBgn0026401	Nipped-B	i	0.577373142	FBgn0026401	Nipped-B
Chr2R	1023060	1038268	1	1	0.066688468	1030664	FBgn0033010	Atf6	u	-1574	FBgn0026238/FBgn0033010	gus/Atf6
Chr2R	1259675	1287929	1	1	0.076075181	1273802	FBgn0033021	CG10417	u	-23193	FBgn0033021/FBgn0259247	CG10417/laccase2
Chr2R	2045557	2075741	2	2	0.083429055	2052849.5	FBgn0000546	EcR	i	0.046081956	FBgn0000546/FBgn0033065/FBgn0040502/FBgn0033067/FBgn0262867	EcR/Cyp6w1/CG8343/CG11211/Ptr
Chr2R	6995204	7015787	3	3	0.124561224	7010636	FBgn0053503	Cyp12d1-d	d	527	FBgn0040765/FBgn0050489/FBgn0053503/FBgn0033578	luna/Cyp12d1-p/Cyp12d1-d/BBS4
Chr2R	8063097	8117223	8	7	0.120229723	8081884.5	FBgn0033698	CG8858	e	0.690509259	FBgn0010621/FBgn0033690/FBgn0033691/FBgn0033692/FBgn0000426/FBgn0033693/FBgn0053964/FBgn0025454/FBgn0033696/FBgn0033697/FBgn0033698/FBgn0033699/FBgn0020377/FBgn0033701/FBgn0033702/FBgn0033703	Cct5/EndoG/CG8860/wash/SmF/CG13175/CG33964/Cyp6g1/Cyp6g2/Cyp6t3/CG8858/RpS11/Sr-CII/CG13171/CG8854/CG13170
Chr2R	10569792	10576343	1	1	0.067192742	10573067.5	FBgn0020269	mspo	i	0.67339029	FBgn0020269	mspo
Chr2R	10624413	10798349	26	20	0.415088823	10765401.5	FBgn0033979	Cyp6a19	e	0.056205493	FBgn0020269/FBgn0033958/FBgn0010388/FBgn0012042/FBgn0041581/FBgn0028689/FBgn0050476/FBgn0033960/FBgn0033961/FBgn0033962/FBgn0033963/FBgn0020767/FBgn0259112/FBgn0015602/FBgn0001319/FBgn0033968/FBgn0033969/FBgn0033970/FBgn0016684/FBgn0033971/FBgn0027783/FBgn0028434/FBgn0033972/FBgn0033973/FBgn0053506/FBgn0053505/FBgn0264962/FBgn0013773/FBgn0015714/FBgn0033978/FBgn0033979/FBgn0013771/FBgn0033980/FBgn0033981/FBgn0013772/FBgn0033982/FBgn0027596	mspo/CG12858/Dro/AttA/AttB/Rpn6/ave/CG10151/CG12859/CG10153/CG12857/Spred/CG42254/BEAF-32/kn/CG10200/CG10202/CG10205/NaPi-T/CG10209/SMC2/Ercc1/Ciao1/HPS1/CG33506/U3-55K/Inr-a/Cyp6a22/Cyp6a17/Cyp6a23/Cyp6a19/Cyp6a9/Cyp6a20/Cyp6a21/Cyp6a8/Cyp317a1/CG10249
Chr2R	10916158	10924783	1	1	0.086679328	10920470.5	FBgn0029082	hbs	i	0.719414982	FBgn0043530/FBgn0029082	Obp51a/hbs
Chr2R	11197504	11207946	1	1	0.088154337	11202725	FBgn0004698	mus210	e	0.551344925	FBgn0034008/FBgn0004698/FBgn0034009	CG8152/mus210/CG8155
Chr2R	11387927	11394272	1	1	0.118630416	11391099.5	FBgn0050469	Ir52b	e	0.991340782	FBgn0034023/FBgn0050469/FBgn0050468/FBgn0050464	Ir52a/Ir52b/Ir52c/Ir52d
Chr2R	12154853	12163616	1	1	0.068272967	12159234.5	FBgn0001308	Khc	f	0.048193973	FBgn0001308/FBgn0053017	Khc/CG33017
Chr2R	12481465	12487958	1	1	0.074730072	12484711.5	FBgn0034143	CG8303	i	0.766880685	FBgn0034142/FBgn0034144/FBgn0034143	CG8306/CG5089/CG8303
Chr2R	14641002	14646273	1	1	0.067858768	14643637.5	FBgn0034387	Cyp12b2	e	0.544779693	FBgn0053147/FBgn0034387/FBgn0259682	Hs3st-A/Cyp12b2/Jabba
Chr2R	15175888	15205504	4	2	0.081960802	15179970	FBgn0086358	Tab2	u	-64	FBgn0034428/FBgn0034429/FBgn0013954/FBgn0034430/FBgn0086358/FBgn0034432/FBgn0034433/FBgn0264753	CG18606/CG18607/FK506-bp2/mip40/Tab2/CG7461/endoB/Rgk1
Chr2R	15345610	15360740	1	1	0.097811041	15353175	FBgn0260934	par-1	e	0.321859331	FBgn0002716/FBgn0260934	mei-W68/par-1
Chr2R	15982006	16007239	3	2	0.072190169	16003486	FBgn0004364	18w	e	0.824571112	FBgn0034480/FBgn0004364/FBgn0034481	CG16898/18w/CG11041
Chr3L	8936229	8944351	1	1	0.073215878	8940290	FBgn0264305/FBgn0264307	CG43783/orb2	i	0.321368607	FBgn0264307/FBgn0264305	orb2/CG43783
Chr3L	9872147	9877675	1	1	0.051736181	9874911	FBgn0085411	CG34382	i	0.513071895	FBgn0085411/FBgn0011836	CG34382/Taf2
Chr3L	10688969	10691687	1	1	0.047362423	10690328	FBgn0036101	NijA	u	-351	FBgn0036101/FBgn0262890	NijA/CG43245
Chr3L	11188505	11193987	1	1	0.054668361	11191246	FBgn0036147	Plod	d	20	FBgn0036144/FBgn0036147/FBgn0036145/FBgn0036146	GlcAT-P/Plod/CG7607/CG14141
Chr3L	11579790	11585413	1	1	0.06737904	11582601.5	FBgn0036176	CG7377	u	-193.5	FBgn0003292/FBgn0036176/FBgn0036177/FBgn0036179	rt/CG7377/CG33268/CG7368
Chr3L	13853043	13858198	1	1	0.064186496	13855620.5	FBgn0036381	CG8745	i	0.637467287	FBgn0029167/FBgn0036381	Hml/CG8745
Chr3L	14934424	14944836	2	2	0.064052384	14942360	FBgn0040487	BobA	u	-3135	FBgn0259099/FBgn0040809/FBgn0040487/FBgn0026320	DCX-EMAP/CG13465/BobA/Tom
Chr3L	15652701	15658575	1	1	0.053266019	15655638	FBgn0262528	CG43082	d	259	FBgn0014848/FBgn0014849/FBgn0014850/FBgn0014851/FBgn0262528/FBgn0036527	Eig71Eh/Eig71Ei/Eig71Ej/Eig71Ek/CG43082/CG7304
Chr3L	16525346	16529310	1	1	0.0480227	16527328	FBgn0263131	CG43373	i	0.174970806	FBgn0263131	CG43373
Chr3L	19178885	19186664	1	1	0.054241162	19182774.5	FBgn0016797	fz2	i	0.484104536	FBgn0016797	fz2
Chr3L	20185628	20374596	9	9	0.128519257	20241766	FBgn0036960	CG13814	i	0.052254832	FBgn0261556/FBgn0262022/FBgn0036947/FBgn0036948/FBgn0036949/FBgn0036950/FBgn0036951/FBgn0036952/FBgn0036953/FBgn0260393/FBgn0260397/FBgn0036956/FBgn0036958/FBgn0024814/FBgn0036959/FBgn0036960/FBgn0004366/FBgn0052228/FBgn0036962/FBgn0264482/FBgn0052227/FBgn0036964/FBgn0052226/FBgn0052225/FBgn0036967/FBgn0003124/FBgn0250791/FBgn0262057/FBgn0036969/FBgn0036972/FBgn0036970/FBgn0036973/FBgn0036974/FBgn0036975/FBgn0024887/FBgn0036977/FBgn0259676/FBgn0036978/FBgn0001259/FBgn0036979/FBgn0001247/FBgn0036980	CG42674/CG42833/obst-F/CG7298/CG7290/CG6996/CG7017/CG6933/CG17145/CG17147/Su(var)3-3/CG13813/CG17233/Clc/CG6951/CG13814/rdgC/CG32228/CG17122/CG43890/gogo/CG6480/Pex23/CG32225/CG6597/polo/Snap/Spn77Ba/Spn77Bb/CG6434/Spn77Bc/Rbbp5/eRF1/CG5618/kin17/CG5665/DNApol-alpha60/Toll-9/in/CG13247/Ide/RhoBTB
Chr3L	21497534	21532811	1	1	0.058757233	21515172.5	FBgn0037093	Cdk12	t	0.903840125	FBgn0264561/FBgn0037092/FBgn0026371/FBgn0037093/FBgn0037094/FBgn0052442/FBgn0029152/FBgn0053289/FBgn0015283/FBgn0263911/FBgn0028663	Glg1/M6/SAK/Cdk12/CG7611/CG32442/Mkrn1/CG33289/Rpn10/CoVIII/VhaM9.7-b
Chr3L	21656013	21688984	1	1	0.047292257	21672498.5	FBgn0037116	CG7158	e	0.066498788	FBgn0264711/FBgn0037114/FBgn0037115/FBgn0037116/FBgn0037117/FBgn0261059/FBgn0052447	CG43980/Cpr78E/CG11249/CG7158/CG11248/Sfp78E/CG32447
Chr3L	22112685	22485098	16	9	0.066525339	22454826.5	FBgn0037163	laza	u	-595.5	FBgn0004414/FBgn0037153/FBgn0028500/FBgn0015075/FBgn0037156/FBgn0004179/FBgn0025702/FBgn0011771/FBgn0027086/FBgn0052450/FBgn0004449/FBgn0037162/FBgn0037163/FBgn0037164/FBgn0037165/FBgn0037166/FBgn0037167/FBgn0263004	msopa/olf413/Rich/Ddx1/CG11523/Csp/srpk79D/Hem/Aats-ile/CG32450/Ten-m/CG11449/laza/CG11438/CG11437/CG11426/CG11425/CG43312
Chr3L	23050301	23113525	2	2	0.115822431	23099592	FBgn0264492	CkIIalpha	d	3032	FBgn0262509/FBgn0024733/FBgn0264492/FBgn0053217	nrm/RpL10/CkIIalpha/CG33217
Chr3L	23406558	24258771	16	14	0.103625723	23697333	FBgn0039977	CG17454	u	-10790	FBgn0052230/FBgn0250816/FBgn0039977/FBgn0058298/FBgn0040056/FBgn0264699/FBgn0058470/FBgn0058045/FBgn0011288	CG32230/AGO3/CG17454/CG40298/CG17698/CG43968/CG40470/CG40045/Snap25
Chr3R	3862111	3877552	1	1	0.077922259	3869831.5	FBgn0262362	CG43060	i	0.20025894	FBgn0010812/FBgn0263596/FBgn0262363/FBgn0262362	unc-45/CG43618/CG43061/CG43060
Chr3R	7918562	7929266	1	1	0.067217421	7923914	FBgn0051361	dpr17	f	0.200435203	FBgn0037989/FBgn0051361	CG14741/dpr17
Chr3R	8194319	8218321	3	2	0.083978069	8214095.5	FBgn0053098	CG33098	e	0.737710019	FBgn0001149/FBgn0010038/FBgn0010039/FBgn0010040/FBgn0010041/FBgn0010042/FBgn0010043/FBgn0010044/FBgn0038028/FBgn0038029/FBgn0053098/FBgn0085431/FBgn0038033/FBgn0038032	GstD1/GstD2/GstD3/GstD4/GstD5/GstD6/GstD7/GstD8/CG10035/GstD11/CG33098/CG34402/CG10097/CG10096
Chr3R	8870688	8882683	1	1	0.108638027	8876685.5	FBgn0038115	CG7966	i	0.238199513	FBgn0001217/FBgn0051157/FBgn0038115/FBgn0260962/FBgn0004666	Hsc70-2/CG31157/CG7966/pic/sim
Chr3R	9296298	9311533	2	2	0.075529776	9307379.5	FBgn0038156	CG14372	d	17473.5	FBgn0038156/FBgn0038157	CG14372/CG12538
Chr3R	11357582	11374322	2	2	0.066716391	11370346.5	FBgn0038349	CG6045	e	0.623797113	FBgn0051296/FBgn0038347/FBgn0038348/FBgn0038349/FBgn0038350	CG31296/CG18522/CG18519/CG6045/CG18516
Chr3R	12183270	12190774	1	1	0.067943397	12187022	FBgn0038422	CG14880	e	0.878275041	FBgn0038420/FBgn0038421/FBgn0259917/FBgn0038422	CG10311/CG17931/CG42446/CG14880
Chr3R	15066847	15094984	4	3	0.072804456	15084247.5	FBgn0038695	CG14280	e	0.439462666	FBgn0038693/FBgn0038694/FBgn0038695/FBgn0265062	unc79/CG5217/CG14280/CG44173
Chr3R	15259494	15264538	1	1	0.063284616	15262016	FBgn0051221	CG31221	i	0.495674268	FBgn0038706/FBgn0051221	CG3517/CG31221
Chr3R	15694165	15702380	1	1	0.069773539	15698272.5	FBgn0038740	CG4562	i	0.304794854	FBgn0038740/FBgn0038741	CG4562/CG17186
Chr3R	16153947	16185639	5	2	0.086482861	16157911	FBgn0038788	Sirt2	d	2160	FBgn0038787/FBgn0038788/FBgn0038789/FBgn0038790	CG4360/Sirt2/Ir92a/MtnC
Chr3R	16244432	16249925	1	1	0.065695917	16247178.5	FBgn0262869	Gfrl	i	0.597881468	FBgn0262869	Gfrl
Chr3R	16311998	16323444	2	2	0.087651063	16314626.5	FBgn0262869	Gfrl	u	-4316.5	FBgn0262869/FBgn0038797	Gfrl/Dic2
Chr3R	16374054	16387540	2	2	0.09241706	16384111	FBgn0043457	CG5180	e	0.250819672	FBgn0016917/FBgn0067782/FBgn0067783/FBgn0043457/FBgn0040575/FBgn0038803/FBgn0038804	Stat92E/att-ORFB/att-ORFA/CG5180/CG15922/CG5191/CG10877
Chr3R	16472786	16513967	7	4	0.201278818	16476545.5	FBgn0028422	GluRIID	e	0.421919585	FBgn0051201/FBgn0028422/FBgn0038818/FBgn0038819/FBgn0038820/FBgn0024944	GluRIIE/GluRIID/Nep4/Cpr92F/CG4000/Oamb
Chr3R	16949937	16956511	1	1	0.063275922	16953224	FBgn0023423	slmb	u	-17	FBgn0023423/FBgn0038858/FBgn0038859/FBgn0038860	slmb/CG5793/Obp93a/Ice2
Chr3R	17443087	17509859	9	5	0.113708896	17455378	FBgn0011766	E2f	i	0.766986421	FBgn0013984/FBgn0011766/FBgn0038893/FBgn0038894/FBgn0259113/FBgn0051176	InR/E2f/CG6353/CG15497/DNApol-alpha180/CG31176
Chr3R	17559798	17604649	4	2	0.081742176	17562505	FBgn0262143	CG42869	e	0.196428571	FBgn0051176/FBgn0261060/FBgn0262143/FBgn0262144/FBgn0054034/FBgn0038897/FBgn0051343/FBgn0051233/FBgn0051198/FBgn0259237/FBgn0038901/FBgn0027575/FBgn0038902/FBgn0038903/FBgn0003867	CG31176/Sfp93F/CG42869/CG42870/CG34034/CG5849/CG31343/CG31233/CG31198/CG42335/burs/GABA-B-R2/CG6800/RpI12/tsl
Chr3R	17670655	17675387	1	1	0.064516389	17673021	FBgn0045468	Gr93d	u	-640	FBgn0045469/FBgn0045468/FBgn0015229	Gr93c/Gr93d/glec
Chr3R	18340417	18353793	2	2	0.071121817	18350372	FBgn0038981	CG5346	i	0.467933769	FBgn0038980/FBgn0038981	oa2/CG5346
Chr3R	19358095	19363811	1	1	0.103275827	19360953	FBgn0039086	CG16732	e	0.817127072	FBgn0039084/FBgn0039085/FBgn0039086/FBgn0039087	CG10175/CG10170/CG16732/CG10168
Chr3R	19412431	19432121	4	4	0.12961075	19419799	FBgn0039092	CG16723	e	0.829305136	FBgn0039089/FBgn0039091/FBgn0053337/FBgn0039092/FBgn0039093/FBgn0039094/FBgn0051145	beat-IV/CG10182/CG33337/CG16723/CG10183/CG10184/CG31145
Chr3R	20078450	20097804	3	2	0.099642463	20082122	FBgn0011225	jar	e	0.805834737	FBgn0039175/FBgn0011225/FBgn0086365	CG5706/jar/Orct2
Chr3R	20144409	20159974	1	1	0.061865889	20152191.5	FBgn0011785	BRWD3	e	0.776536022	FBgn0028471/FBgn0011785/FBgn0039182/FBgn0039183	Nab2/BRWD3/CG5728/Dis3
Chr3R	20342701	20349606	1	1	0.064687607	20346153.5	FBgn0003134	Pp1alpha-96A	e	0.532258065	FBgn0039201/FBgn0003134/FBgn0039202/FBgn0039203	CG13617/Pp1alpha-96A/CG13622/CG13618
